puzzle_id,min_diff,max_diff,avg_diff,num_solutions
1665,0,38,25.833333333333332,12
1666,0,24,13.36,25
1667,0,4,2.0,2
1668,0,4,2.0,2
1670,0,22,15.333333333333334,21
1671,0,16,10.5,4
1678,0,6,3.0,2
1679,0,4,2.0,2
1688,0,12,7.0,4
1689,0,40,21.5,4
1691,0,12,7.5,12
1697,0,8,4.0,2
1699,0,24,14.8,5
1704,0,4,2.0,2
1705,0,12,5.6,5
1708,0,16,9.0,4
1714,0,4,2.0,2
1718,0,36,21.0,6
1721,0,6,3.0,2
1731,0,16,8.0,4
1732,0,8,4.0,4
1736,0,16,8.0,2
1746,0,4,2.0,2
1751,0,12,6.0,4
1757,0,10,5.0,2
1761,0,8,4.0,2
1764,0,8,4.0,2
1767,0,12,6.0,2
1769,0,24,12.0,4
1770,0,8,4.0,2
1774,0,44,15.130434782608695,23
1781,0,4,2.0,2
1782,0,32,18.6,50
1785,0,18,14.709677419354838,31
1787,0,40,20.0,2
1789,0,38,16.181818181818183,11
1791,0,8,5.5,8
1792,0,8,4.0,2
1796,0,14,7.5,4
1799,0,8,4.0,2
1800,0,4,2.0,2
1801,0,4,2.6666666666666665,3
1803,0,36,16.666666666666668,6
1804,6,20,15.0,50
1805,0,18,8.8,10
